Module Code,Module Name,Number of Students,Department/School/Institute,Academic Year,Period
PHY321,Modern Computation in Physical Science,0,School of Physics & Astronomy,2011/12,SEM1
PHY7001,Physics EuroMasters Project,2,School of Physics & Astronomy,2011/12,YEAR
RUS070B,Landmarks in Russian Literature,0,School of Languages Linguistics and Film,2011/12,SEM2
RUS084NB,Russian III (N),0,School of Languages Linguistics and Film,2011/12,SEM2
COM401,The Romantic Experience in Europe (1800-1840),23,School of Languages Linguistics and Film,2011/12,SEM2
COM504,Homeward Bound: From The Odyssey to O Brother Where Art Thou?,32,School of Languages Linguistics and Film,2011/12,SEM2
COM604,The Return of the Renaissance in Nineteenth Century Europe and its Narrative and Intellectual Contexts,36,School of Languages Linguistics and Film,2011/12,SEM2
SBC104,Exploring Psychology,81,School of Biological and Chemical Sciences,2011/12,SEM1
SBC108,Chemistry for Biologists,86,School of Biological and Chemical Sciences,2011/12,SEM1
SBC112,Personal and Professional Development for Forensic Practitioners,0,School of Biological and Chemical Sciences,2011/12,YEAR
SBC116,Conservation and the Environment,117,School of Biological and Chemical Sciences,2011/12,SEM2
SBC140,Essential Skills for Psychologists,57,School of Biological and Chemical Sciences,2011/12,YEAR
SBC200,Techniques in Biomedical Sciences,77,School of Biological and Chemical Sciences,2011/12,SEM1
SBC202,Social and Developmental Psychology,80,School of Biological and Chemical Sciences,2011/12,SEM2
SBC210,Chromosomes and Gene Functions,116,School of Biological and Chemical Sciences,2011/12,SEM1
SBC211,The Microbial World and Humans,0,School of Biological and Chemical Sciences,2011/12,SEM1
SBC216,The Legal Process in Forensic Science,0,School of Biological and Chemical Sciences,2011/12,SEM2
SBC251,Biosciences 2,0,School of Biological and Chemical Sciences,2011/12,YEAR
SBC256,Applied Forensic Chemistry and Physics 2,0,School of Biological and Chemical Sciences,2011/12,YEAR
SEF007,Physics (Electricity and Atomic Physics),88,School of Biological and Chemical Sciences,2011/12,SEM2
SEF015,Discrete Mathematics [Foundation],48,School of Biological and Chemical Sciences,2011/12,SEM2
HST5209,The Georgians: Society and Culture in Eighteenth Century England,23,School of History,2011/12,SEM2
SEF030,Communication in Science and Technology,114,School of Biological and Chemical Sciences,2011/12,SEM1
SEF031,Form and Function in Biology,49,School of Biological and Chemical Sciences,2011/12,SEM1
SEJ001,Mathematics I,6,School of Biological and Chemical Sciences,2011/12,SEM2
SML002A,European Culture and Society,2,School of Languages Linguistics and Film,2011/12,SEM1
SML014,European Studies Research Project,9,School of Languages Linguistics and Film,2011/12,YEAR
SML102,The Opposite of Science: How to Do Things with Poems,17,School of Languages Linguistics and Film,2011/12,SEM2
WHR7020,Sports Injury Management,28,William Harvey Research Institute,2011/12,SEM2
SML209,Computers and Language,21,School of Languages Linguistics and Film,2011/12,SEM2
SML305,Grand Tours: Nineteenth Century Adventure Stories for Young Readers and Their Twentieth Century Afterlives,37,School of Languages Linguistics and Film,2011/12,SEM2
PHY7003,Modern Computation in Physical Science,7,School of Physics & Astronomy,2011/12,SEM1
PHY709,Independent Project,0,School of Physics & Astronomy,2011/12,SEM1
PHY912,Physics Investigative Project,3,School of Physics & Astronomy,2011/12,YEAR
POL100A,Introduction to Politics,0,School of Politics & International Relations,2011/12,SEM1
POL103A,Comparative Government and Politics,10,School of Politics & International Relations,2011/12,SEM1
POL106A,Introduction to International Relations,9,School of Politics & International Relations,2011/12,SEM1
POL337,The Politics of Economic Ideas: Key Texts in Modern Political Economy,47,School of Politics & International Relations,2011/12,SEM1
POL206,Modern Political Thought I and II,91,School of Politics & International Relations,2011/12,YEAR
POLM019,Policy Analysis for the Developing World,29,School of Politics & International Relations,2011/12,SEM2
POLM039,Sovereignty and Intervention in International Politics,0,School of Politics & International Relations,2011/12,SEM2
GER061N,German III (For Native Speakers),5,School of Languages Linguistics and Film,2011/12,YEAR
HST5106,Latin for Medievalists II,3,School of History,2011/12,SEM1
HST5207,The World of the Nun - Convent Culture in the Renaissance 2 Europe,8,School of History,2011/12,SEM2
CCDM019,Information Security and the Law,8,School of Law / Centre for Commercial Law Studies,2011/12,SEM2
HST5301,Anglo-American Relations 1945-70,45,School of History,2011/12,SEM1
HST5302,Architecture in London II 1837 - to the Present,91,School of History,2011/12,SEM2
HST5305,"British Horror: Film, Television and Literature",52,School of History,2011/12,SEM1
HST5308,"Disraeli, Democracy and Empire",5,School of History,2011/12,SEM1
HST5321,Winning on the Western Front: the British Army 1914 -1919,48,School of History,2011/12,SEM2
HST5323,"Cabinet, Premiership and the Conduct of Central Government since 1945",30,School of History,2011/12,YEAR
HST5332,"Victorian Values:  Religion, Sex, Race and Deviance in Nineteenth Century Britain",39,School of History,2011/12,YEAR
HST6323,"Behind Closed Doors: House, Home and Private Life in England, c1660-c1850",20,School of History,2011/12,SEM2
GEG4110,An Introduction to Qualitative Research Methods,85,School of Geography,2011/12,SEM1
GEG4208,Methods for Environmental Research,60,School of Geography,2011/12,SEM1
LLU012,Further French,10,School of Languages Linguistics and Film,2011/12,YEAR
LLU022,Further Spanish,30,School of Languages Linguistics and Film,2011/12,YEAR
LLU031,Beginners' Italian,0,School of Languages Linguistics and Film,2011/12,YEAR
LLU042,Further Japanese,17,School of Languages Linguistics and Film,2011/12,YEAR
LLU101,Beginners' German I,1,School of Languages Linguistics and Film,2011/12,SEM1
SMLM035,Film Studies,16,School of Languages Linguistics and Film,2011/12,YEAR
SMLM037A,Theory and Practice of Anglo-German Cultural Transfers A,0,School of Languages Linguistics and Film,2011/12,SEM1
SMLM039,In Pursuit of Prejudice? Mutual Perceptions of Identity,0,School of Languages Linguistics and Film,2011/12,SEM1
WASM009,Dissertation,6,School of English & Drama - Department of English,2011/12,YEAR
WASM017,"London Panoramas: Research, Culture and the Long Eighteenth Century",6,School of English & Drama - Department of English,2011/12,SEM2
WHR6001,Molecular Medicine,10,William Harvey Research Institute,2011/12,SEM1
WHR6004,Molecular Therapeutics Project,31,William Harvey Research Institute,2011/12,YEAR
WHR6008,Cutaneous Biology,0,William Harvey Research Institute,2011/12,SEM2
POL243,British Politics,69,School of Politics & International Relations,2011/12,YEAR
POL244,The International Politics of the Developing World,90,School of Politics & International Relations,2011/12,YEAR
POLM003,Implementation and Evaluation,18,School of Politics & International Relations,2011/12,SEM1
POL308,Ideology and Political Critique,28,School of Politics & International Relations,2011/12,SEM1
POL325,Electoral Behaviour,37,School of Politics & International Relations,2011/12,SEM1
POL330,European Integration and the EU as a Political System,54,School of Politics & International Relations,2011/12,YEAR
POL330B,European Integration and the EU as a Political System,2,School of Politics & International Relations,2011/12,SEM2
LAW6017A,Comparative European Law (A): European Legal Systems,1,School of Law / Centre for Commercial Law Studies,2011/12,SEM1
LAW6017B,Comparative European Law (B): European Integration,1,School of Law / Centre for Commercial Law Studies,2011/12,SEM2
WHR6011,Clinical Pharmacology,15,William Harvey Research Institute,2011/12,SEM2
WHR7003,"Thyroid, Parathyroids and Bone",37,William Harvey Research Institute,2011/12,SEM2
WHRM903,Clinical Study Design,32,William Harvey Research Institute,2011/12,SEM2
WHRM905,Ethics and Regulation in Clinical Research,38,William Harvey Research Institute,2011/12,SEM2
WHRM907,Specific Topics in Clinical Trial Design,31,William Harvey Research Institute,2011/12,SEM3
WHRM910,Pharmaceutical and Healthcare Marketing,30,William Harvey Research Institute,2011/12,SEM1
WHRM913,Healthcare Organisation and Decision Making,3,William Harvey Research Institute,2011/12,SEM1
JRN007,French for Media (Upper Intermediate) - City University,0,Module taken at City University London,2011/12,YEAR
JRN025,Spanish for Media (Beginners) - City University,0,Module taken at City University London,2011/12,YEAR
JRN103,The British Media - City University,0,Module taken at City University London,2011/12,YEAR
JRN112,History of Journalism - City University,0,Module taken at City University London,2011/12,YEAR
JRN201,Production 2 (Print and Radio) - City University,0,Module taken at City University London,2011/12,YEAR
JRN207,Reporting 2; Features 2 - City University,0,Module taken at City University London,2011/12,YEAR
JRN300,Web Creation and Design - City University,0,Module taken at City University London,2011/12,YEAR
JRN305,European Specialism - City University,1,Module taken at City University London,2011/12,YEAR
JRN307,UK Politics Specialism - City University,0,Module taken at City University London,2011/12,YEAR
MTHM007,Measure Theory and Probability,8,School of Mathematical Sciences,2011/12,SEM1
POLM017,Dissertation,70,School of Politics & International Relations,2011/12,YEAR
MAT4003,Clinical Problems in Biomedical Engineering and Materials,95,School of Engineering & Material Science,2011/12,SEM1
POLM027,International Security: War and Peace in a Global Context,31,School of Politics & International Relations,2011/12,SEM2
MAT4004,Clinical Solutions in Biomedical Engineering and Materials,94,School of Engineering & Material Science,2011/12,SEM2
ESH214,Nineteenth Century Aesthetic Prose: a Writing Intensive Course,15,School of English & Drama - Department of English,2011/12,SEM1
POLM041,The Americas in Comparative Perspective I: Historical Roots,8,School of Politics & International Relations,2011/12,SEM1
ECN367,Experimental Economics,10,School of Economics & Finance,2011/12,SEM1
GER503,The German Aphorism: a Form of Thought,6,School of Languages Linguistics and Film,2011/12,SEM2
HSP206,The Spanish Inquisition,20,School of Languages Linguistics and Film,2011/12,SEM2
HSP653,Feminine Voices in Modern Spanish Fiction,0,School of Languages Linguistics and Film,2011/12,SEM2
FRE305,New Women's Writing in French,13,School of Languages Linguistics and Film,2011/12,SEM2
HST7000,"History: Approaches, Methods, Challenges",20,School of History,2011/12,SEM1
HST7300,"Britain and the Middle East, 1900-1960",8,School of History,2011/12,SEM1
HST7305,Democracy: Modern,12,School of History,2011/12,SEM2
JRN309,Conflict Specialism - City University,3,Module taken at City University London,2011/12,YEAR
JRN312,Diplomatic Specialism - City University,0,Module taken at City University London,2011/12,YEAR
JRN314,Finance Specialism - City University,4,Module taken at City University London,2011/12,YEAR
JRN316,Online Journalism Specialism - City University,0,Module taken at City University London,2011/12,YEAR
JRN319,Popular Music Specialism - City University,2,Module taken at City University London,2011/12,YEAR
JRN321,Home Affairs Specialism - City University,1,Module taken at City University London,2011/12,YEAR
JRN353,Radio Project - City University,0,Module taken at City University London,2011/12,YEAR
JRN357,Industry Placement - Half Year,0,Module taken at City University London,2011/12,YEAR
LLU102,Further German I,0,School of Languages Linguistics and Film,2011/12,SEM2
LLU105,Higher-Further German I,1,School of Languages Linguistics and Film,2011/12,SEM1
LLU111,Beginners' French I,5,School of Languages Linguistics and Film,2011/12,SEM1
LLU113,Advanced French I,0,School of Languages Linguistics and Film,2011/12,SEM1
LLU115,Higher-Further French I,0,School of Languages Linguistics and Film,2011/12,SEM1
LLU121,Beginners' Spanish I,4,School of Languages Linguistics and Film,2011/12,SEM2
LLU123,Advanced Spanish I,0,School of Languages Linguistics and Film,2011/12,SEM1
LLU125,Higher-Further Spanish I,1,School of Languages Linguistics and Film,2011/12,SEM1
LLU141,Beginners' Japanese I,0,School of Languages Linguistics and Film,2011/12,SEM1
LLU142,Further Japanese I,1,School of Languages Linguistics and Film,2011/12,SEM1
LLU143,Advanced Japanese I,0,School of Languages Linguistics and Film,2011/12,SEM2
LLU145,Higher-Further Japanese I,1,School of Languages Linguistics and Film,2011/12,SEM2
LLU201,Beginners' German II,0,School of Languages Linguistics and Film,2011/12,SEM2
LLU202,Further German II,0,School of Languages Linguistics and Film,2011/12,SEM1
LLU205,Higher-Further German II,0,School of Languages Linguistics and Film,2011/12,SEM1
LLU211,Beginners' French II,0,School of Languages Linguistics and Film,2011/12,SEM1
LLU213,Advanced French II,0,School of Languages Linguistics and Film,2011/12,SEM1
HST7319,In the Shadow of the French Revolution: Political Thought 1789-1890,4,School of History,2011/12,SEM2
HST7402,Modern Jewish History and Culture,2,School of History,2011/12,SEM1
WHRM922,Inflammation: Cellular and Vascular Aspects,0,William Harvey Research Institute,2011/12,YEAR
WHRM924,Clinical Forensic Medicine,14,William Harvey Research Institute,2011/12,SEM2
WHRM927,Forensic Identification II,15,William Harvey Research Institute,2011/12,SEM1
WOFM901,Advanced Mental Health Assessment,78,Wolfson Institute of Preventive Medicine,2011/12,SEM1
WOFM904,Psychological Therapies,68,Wolfson Institute of Preventive Medicine,2011/12,SEM2
LAW5024,Law of Property II,180,School of Law / Centre for Commercial Law Studies,2011/12,YEAR
LAW5105,Law of the European Union,10,School of Law / Centre for Commercial Law Studies,2011/12,SEM1
LAW6001A,EU Justice and Home Affairs (A): Immigration and Asylum Law,2,School of Law / Centre for Commercial Law Studies,2011/12,SEM1
LAW6003,"Law and Globalisation: Companies, International Trade and Human Rights",30,School of Law / Centre for Commercial Law Studies,2011/12,YEAR
LAW6021,Jurisprudence and Legal Theory,154,School of Law / Centre for Commercial Law Studies,2011/12,YEAR
LAW6028A,Commercial and Consumer Law A,0,School of Law / Centre for Commercial Law Studies,2011/12,SEM1
LAW6032A,Public International Law A,3,School of Law / Centre for Commercial Law Studies,2011/12,SEM1
LAW6035,Dissertation,16,School of Law / Centre for Commercial Law Studies,2011/12,YEAR
LAW6045,Criminology,21,School of Law / Centre for Commercial Law Studies,2011/12,YEAR
POL322,Case Studies in Ethnic Conflict: Northern Ireland,28,School of Politics & International Relations,2011/12,SEM1
LLU225,Higher-Further Spanish II,0,School of Languages Linguistics and Film,2011/12,SEM1
LLU231,Beginners' Italian II,0,School of Languages Linguistics and Film,2011/12,SEM1
LLU235,Higher-Further Italian II,0,School of Languages Linguistics and Film,2011/12,SEM1
POL246A,Representative Democracy in Practice,1,School of Politics & International Relations,2011/12,SEM1
QLLM011A,Company Law A,0,School of Law / Centre for Commercial Law Studies,2011/12,SEM1
QLLM017B,Computer Law B,0,School of Law / Centre for Commercial Law Studies,2011/12,SEM2
QLLM025A,e-Commerce Law A,1,School of Law / Centre for Commercial Law Studies,2011/12,SEM1
QLLM028A,EU Financial Law A,7,School of Law / Centre for Commercial Law Studies,2011/12,SEM1
QLLM036A,Global Policy and Economics of Intellectual Property Law,5,School of Law / Centre for Commercial Law Studies,2011/12,SEM1
QLLM041,Intellectual Property Aspects of Medicine,0,School of Law / Centre for Commercial Law Studies,2011/12,YEAR
QLLM042A,Intellectual Property in the Digital Millennium A,1,School of Law / Centre for Commercial Law Studies,2011/12,SEM1
QLLM043A,International and Comparative Commercial Arbitration A,0,School of Law / Centre for Commercial Law Studies,2011/12,SEM1
QLLM044,International and Comparative Competition Law,22,School of Law / Centre for Commercial Law Studies,2011/12,YEAR
LLU241,Beginners' Japanese II,0,School of Languages Linguistics and Film,2011/12,SEM1
LLU242,Further Japanese II,1,School of Languages Linguistics and Film,2011/12,SEM1
LLU243,Advanced Japanese II,0,School of Languages Linguistics and Film,2011/12,SEM2
LLU245,Higher-Further Japanese II,0,School of Languages Linguistics and Film,2011/12,SEM1
MAT102,Materials Selection and Mechanical Modelling,80,School of Engineering & Material Science,2011/12,SEM1
MAT105,Materials in Dentistry,0,School of Engineering & Material Science,2011/12,SEM2
MAT111,Design in Materials,0,School of Engineering & Material Science,2011/12,SEM1
MAT155,Clinical Applications of Biomaterials,0,School of Engineering & Material Science,2011/12,SEM1
MAT206,Materials Science 2: Processing and Applications,63,School of Engineering & Material Science,2011/12,SEM2
MAT211,Surfaces and Interfaces in Dental Materials,18,School of Engineering & Material Science,2011/12,SEM1
MAT212,Surfaces and Interfaces in Biomedical Materials,12,School of Engineering & Material Science,2011/12,SEM1
MAT220,Applied Dental Materials,0,School of Engineering & Material Science,2011/12,SEM1
MAT300,Materials Science II (Energy Concepts),0,School of Engineering & Material Science,2011/12,SEM1
MAT306,Functional Materials in Medical Engineering,71,School of Engineering & Material Science,2011/12,SEM1
MAT307,Innovation Strategy,0,School of Engineering & Material Science,2011/12,SEM1
MAT309,Materials Science 3: Materials Chemistry,46,School of Engineering & Material Science,2011/12,SEM1
POR401,Brazilian Cinematic Cities: Regional and Historical Diversity,14,School of Languages Linguistics and Film,2011/12,SEM2
RUS502,Russian Documentary Film,7,School of Languages Linguistics and Film,2011/12,SEM2
LIN039,Syntactic Theory,10,School of Languages Linguistics and Film,2011/12,SEM2
LIN101,Language Acquisition,68,School of Languages Linguistics and Film,2011/12,SEM2
LIN203,Historical Linguistics,35,School of Languages Linguistics and Film,2011/12,SEM1
RUS306,Russian Novel: Dysfunctional Families,12,School of Languages Linguistics and Film,2011/12,SEM2
DEN4101,Mechanics of Fluids I,221,School of Engineering & Material Science,2011/12,SEM1
QLLM048A,"International and Comparative Law of Trade Marks, Designs and Unfair Competition A",1,School of Law / Centre for Commercial Law Studies,2011/12,SEM1
QLLM050B,International Commercial Law B,0,School of Law / Centre for Commercial Law Studies,2011/12,SEM2
QLLM052,International Construction - Contracts and Arbitration,36,School of Law / Centre for Commercial Law Studies,2011/12,YEAR
QLLM052B,International Construction - Contracts and Arbitration B,0,School of Law / Centre for Commercial Law Studies,2011/12,SEM2
QLLM057,International Law of Armed Conflict and the Use of Force,10,School of Law / Centre for Commercial Law Studies,2011/12,YEAR
LIN401,Introduction to Phonology,41,School of Languages Linguistics and Film,2011/12,SEM2
BUSM060,Corporate Governance,56,School of Business & Management,2011/12,SEM2
LIN503,Aspects of Meaning,49,School of Languages Linguistics and Film,2011/12,SEM2
ELEM045,Sound Recording and Production Techniques,20,School of Engineering & Computer Science,2011/12,SEM1
ESH388,Writing Seventeenth Century Lives,0,School of English & Drama - Department of English,2011/12,SEM2
LIN620,Ethnography of Communication - Foundations and Fieldwork,12,School of Languages Linguistics and Film,2011/12,SEM1
DCS359,Design for Human Interaction,0,School of Engineering & Computer Science,2011/12,SEM1
LLU005,Higher-Further German,0,School of Languages Linguistics and Film,2011/12,YEAR
MAT309,Materials Science 3: Materials Chemistry,0,School of Engineering & Material Science,2011/12,SEM1
MAT316,Evaluation and Modelling of Dental Materials,0,School of Engineering & Material Science,2011/12,SEM2
MAT500,Final Year Undergraduate Research Project,52,School of Engineering & Material Science,2011/12,YEAR
MAT800,Advanced Topics in Biomaterials,0,School of Engineering & Material Science,2011/12,SEM2
MAT804,Advanced Materials Characterization Techniques,17,School of Engineering & Material Science,2011/12,SEM2
MED41B1,"Part 1, Section Bi: Key Knowledge and its Application",273,School of Medicine,2011/12,YEAR
MED41C1,"Part 1, Section C: Examination in Data Interpretation, Including Image Recognition and Related Core Knowledge",270,School of Medicine,2011/12,YEAR
MED41E1,"Part 1, Section E: Annual Hurdle for Completion of Student Selected Components",270,School of Medicine,2011/12,YEAR
MED52B1,"Part 2, Section Bi: Key Knowledge and its Application",229,School of Medicine,2011/12,YEAR
MED52C1,"Part 2, Section C: Examination in Data Interpretation, Including Image Recognition and Related Core Knowledge",230,School of Medicine,2011/12,YEAR
MED52E1,"Part 2, Section E: Annual Hurdle for Completion of Student Selected Components",223,School of Medicine,2011/12,YEAR
MED63C1,"Part 3, Section C: Examination in Data Interpretation, Including Image Recognition and Related Core Knowledge",351,School of Medicine,2011/12,YEAR
MED63E1,"Part 3, Section E: Annual Hurdle for Completion of Student Selected Components",350,School of Medicine,2011/12,YEAR
MED74B1,"Part 4, Section B: Examination - Specialities I",339,School of Medicine,2011/12,YEAR
MED74D1,"Part 4, Section D: Examination in Clinical, Communication and Practical Skills",339,School of Medicine,2011/12,YEAR
MELM001,Medical Electronics and Physics Research Project,10,School of Engineering & Material Science,2011/12,YEAR
QLLM058,International Law of the Sea,12,School of Law / Centre for Commercial Law Studies,2011/12,YEAR
QLLM061,International Protection of Human Rights,0,School of Law / Centre for Commercial Law Studies,2011/12,YEAR
QLLM062A,International Tax Law I A,1,School of Law / Centre for Commercial Law Studies,2011/12,SEM1
QLLM069,Law of Finance and Foreign Investment in Emerging Economies,25,School of Law / Centre for Commercial Law Studies,2011/12,YEAR
QLLM069B,Law of Finance and Foreign Investment in Emerging Economies B,0,School of Law / Centre for Commercial Law Studies,2011/12,SEM2
LLU225,Higher-Further Spanish II,0,School of Languages Linguistics and Film,2011/12,SEM1
SBC100,The Human Cell,116,School of Biological and Chemical Sciences,2011/12,SEM1
SBC333,Undergraduate Ambassadors Scheme (UAS),0,School of Biological and Chemical Sciences,2011/12,SEM1
SBC340X,Integrative Studies in Psychological Sciences,43,School of Biological and Chemical Sciences,2011/12,YEAR
SBC351,"Protein Structure, Folding and Assemblies",43,School of Biological and Chemical Sciences,2011/12,SEM2
SBC402,Biomedical Pharmacology,77,School of Biological and Chemical Sciences,2011/12,SEM1
SBC502,Health Psychology,43,School of Biological and Chemical Sciences,2011/12,SEM1
SBC505,Forensic Chemistry,0,School of Biological and Chemical Sciences,2011/12,SEM2
SBC510,Molecules from First Principles,80,School of Biological and Chemical Sciences,2011/12,SEM2
SBC611,Population and Chromosome Genetics,0,School of Biological and Chemical Sciences,2011/12,SEM1
SBC701,Applied Forensic Chemistry,0,School of Biological and Chemical Sciences,2011/12,SEM1
SBC703,Synthesis of Pharmaceutically Active Molecules,1,School of Biological and Chemical Sciences,2011/12,SEM1
SBC711,Tropical Ecology and Conservation,16,School of Biological and Chemical Sciences,2011/12,SEM1
GEG701U,"Aquatic Systems: Hydrological, Hydrochemical and Geomorphological Processes",0,School of Geography,2011/12,SEM1
MTH4105,Introduction to Mathematical Computing,182,School of Mathematical Sciences,2011/12,SEM1
MTH4106,Introduction to Statistics,298,School of Mathematical Sciences,2011/12,SEM2
MTH5102,Calculus III,146,School of Mathematical Sciences,2011/12,SEM1
MTH5104,Convergence and Continuity,141,School of Mathematical Sciences,2011/12,SEM1
MTH5106,Dynamics of Physical Systems,100,School of Mathematical Sciences,2011/12,SEM1
MTH5110,Introduction to Numerical Computing,100,School of Mathematical Sciences,2011/12,SEM2
MTH5117,Mathematical Writing,0,School of Mathematical Sciences,2011/12,SEM1
MTH5121,Probability Models,1,School of Mathematical Sciences,2011/12,SEM1
MTH6104,Algebraic Structures II,14,School of Mathematical Sciences,2011/12,SEM1
MTH6120,Further Topics in Mathematical Finance,113,School of Mathematical Sciences,2011/12,SEM2
MTH6124,Mathematical Problem Solving,9,School of Mathematical Sciences,2011/12,SEM2
MTH6129,"Oscillations, Waves and Patterns",19,School of Mathematical Sciences,2011/12,SEM2
MTH6134,Statistical Modelling II,77,School of Mathematical Sciences,2011/12,SEM1
QLLM073A,Legal Aspects of International Finance,18,School of Law / Centre for Commercial Law Studies,2011/12,SEM1
QLLM075B,Legal Theory in the Common Law Tradition B,0,School of Law / Centre for Commercial Law Studies,2011/12,SEM2
QLLM077A,Medical Jurisprudence A,0,School of Law / Centre for Commercial Law Studies,2011/12,SEM1
QLLM082A,Regulation of Financial Markets,17,School of Law / Centre for Commercial Law Studies,2011/12,SEM1
QLLM084A,Secured Financing in Commercial Transactions A,7,School of Law / Centre for Commercial Law Studies,2011/12,SEM1
QLLM087A,Taxation Principles and Concepts A,3,School of Law / Centre for Commercial Law Studies,2011/12,SEM1
QLLM095,Intellectual Property and the Creative Industries,83,School of Law / Centre for Commercial Law Studies,2011/12,YEAR
QLLM097,International Natural Resources Law,25,School of Law / Centre for Commercial Law Studies,2011/12,YEAR
QLLM101,EU Criminal Law,1,School of Law / Centre for Commercial Law Studies,2011/12,SEM2
WHR7045,Research Methods 1,0,William Harvey Research Institute,2011/12,SEM1
HST6325,Film History: The United States in the Post-war Era,34,School of History,2011/12,SEM2
HST7325,Medical History and the Body,2,School of History,2011/12,SEM1
AMCD224,Graphical User Interfaces,0,School of Engineering & Computer Science,2011/12,SEM2
AMCD310,Systems Analysis,0,School of Engineering & Computer Science,2011/12,SEM1
GEG6213,Quaternary Palaeoenvironments,0,School of Geography,2011/12,SEM1
WHR7013,"Decision-making, Communication and Ethics",2,William Harvey Research Institute,2011/12,SEM1
WHR7016,Neurocritical Care and Trauma Management,6,William Harvey Research Institute,2011/12,SEM2
POL352,Select Topics in British Politics 1,10,School of Politics & International Relations,2011/12,SEM1
HST7326,Islam is the Solution? The History of Modern Islamism,8,School of History,2011/12,SEM2
SML205,Art and Revolution,24,School of Languages Linguistics and Film,2011/12,SEM2
LAW6034,International Human Rights Law,32,School of Law / Centre for Commercial Law Studies,2011/12,YEAR
BBU6602,Internet of Things Information Processing Technology,0,School of Engineering & Computer Science,2011/12,SEM2
BBC6204,Operating System,0,School of Engineering & Computer Science,2011/12,SEM2
RUS314,Theatre and Theatricality in Russian Society,8,School of Languages Linguistics and Film,2011/12,SEM1
COM626,On the Subject of Sex II: Queen to Queer,31,School of Languages Linguistics and Film,2011/12,SEM1
HSP651,Spanish Realism: Galdos and Alas,13,School of Languages Linguistics and Film,2011/12,SEM1
SML103,Encounters with the 'New World': Christopher Columbus to Sir Walter Raleigh,30,School of Languages Linguistics and Film,2011/12,SEM1
ELEM047,MSc by Research Project,3,School of Engineering & Computer Science,2011/12,YEAR
ESH373,Shakespeare: the Play and the Book,1,School of English & Drama - Department of English,2011/12,SEM1
HST6311,The Russian Revolution and Civil War 1917-21 (I) and (II),7,School of History,2011/12,YEAR
HST6316,The Lives of Oscar Wilde (I) and (II),9,School of History,2011/12,YEAR
GER618,Dichtung Und Wahrheit: Fictions of the Self from Goethe to the Present Day,4,School of Languages Linguistics and Film,2011/12,YEAR
GER501,The History of the German Language,6,School of Languages Linguistics and Film,2011/12,SEM1
HST6324,Film History: The United States and the Second World War,46,School of History,2011/12,SEM1
LCMM041,The Cultural Legacy of the Great War,10,School of English & Drama - Department of English,2011/12,SEM1
HST7323,Studying Modern and Contemporary British History,9,School of History,2011/12,SEM1
EBU750U,Cloud Computing,0,School of Engineering & Computer Science,2011/12,SEM1
HST4105,The Middle Ages (1000-1300),83,School of History,2011/12,SEM2
HST4201,"Society and the State in Britain, 1450-1720",77,School of History,2011/12,YEAR
POL245B,"Political Theories of the State, Economy and Society",1,School of Politics & International Relations,2011/12,SEM2
BBC4104,Communication Skills,491,School of Engineering & Computer Science,2011/12,SEM2
HST5100,Women and Gender in Medieval Islam,25,School of History,2011/12,SEM2
SBC504,Techniques in Forensic Chemistry,0,School of Biological and Chemical Sciences,2011/12,SEM2
SBS064,Forensic Science Investigative Project,1,School of Biological and Chemical Sciences,2011/12,SEM1
SBS633,Evolutionary Genetics,1,School of Biological and Chemical Sciences,2011/12,SEM1
WHR6009,Inflammation Therapeutics,3,William Harvey Research Institute,2011/12,SEM2
LLU115,Higher-Further French I,0,School of Languages Linguistics and Film,2011/12,SEM2
WHR6022,Exercise as a Health Tool,23,William Harvey Research Institute,2011/12,SEM2
MAT311,Tissue Engineering and Regenerative Medicine,0,School of Engineering & Material Science,2011/12,SEM1
MAT605,Total Quality Management,24,School of Engineering & Material Science,2011/12,SEM2
GEG706U,Field and Laboratory Methods for Freshwater Environmental Science,0,School of Geography,2011/12,SEM1
MTH6117,Entrepreneurship and Innovation,44,School of Mathematical Sciences,2011/12,SEM1
BBC6406,Wireless Sensor Systems,0,School of Engineering & Computer Science,2011/12,SEM2
BBC6201,Internet of Things Engineering Practice,0,School of Engineering & Computer Science,2011/12,SEM1
POLM043,"International Relations of the Middle East: Islam, Imperialism and State Formation",10,School of Politics & International Relations,2011/12,SEM2
HST5308,"Disraeli, Democracy and Empire",25,School of History,2011/12,SEM1
HST5324,A Century of Extremes: Germany 1890 - 1990,58,School of History,2011/12,YEAR
QLLM064A,International Trade and Investment Dispute Settlement A,0,School of Law / Centre for Commercial Law Studies,2011/12,SEM1
RUS006,Introductory Russian,5,School of Languages Linguistics and Film,2011/12,YEAR
SBC260,Chemistry of Condensed Matter,34,School of Biological and Chemical Sciences,2011/12,SEM1
QLLM127A,International Human Rights Law A,1,School of Law / Centre for Commercial Law Studies,2011/12,SEM1
WHR7028,Sports Injury Assessment 2,29,William Harvey Research Institute,2011/12,SEM2
GEG6119,Geographies of Tourism and Travel,20,School of Geography,2011/12,SEM2
EBC6002,Engineering Environment (IoT),0,School of Engineering & Computer Science,2011/12,YEAR
HST5210,"Africa in Europe, 1440 - 1650: Renaissance Encounters",16,School of History,2011/12,YEAR
HST5210B,"Africa in Europe, 1440 - 1650: Renaissance Encounters",0,School of History,2011/12,SEM2
HST5306,Challenging Europe's Political and Social Order: the 1848 Revolution,24,School of History,2011/12,SEM2
